company_name,website,linkedin_url,industry,location,employees,has_funding
ICICI Lombard,https://www.icicilombard.com/,https://in.linkedin.com/company/icici-lombard,Insurance,Mumbai,5000-10000,no
Urban Company,https://www.urbancompany.com,https://in.linkedin.com/company/urbancompany,Internet,Mumbai,1000-5000,yes
Caremother,https://caremother.in/,https://www.linkedin.com/company/caremother,Medical devices and equipment,Mumbai,11-50,yes
Talentcorp Solutions Pvt Ltd,https://www.tsplgroup.in,https://www.linkedin.com/company/tsplgroup,Human resources services,Pune,201-500,no
Razorpay,https://razorpay.com,https://www.linkedin.com/company/razorpay,FinTech,Mumbai,1000-5000,yes
Mypcot Infotech,https://www.mypcot.com,https://www.linkedin.com/company/mypcot-infotech-pvt-ltd,IT services and consulting,Mumbai,51-200,no
Techniche Imunita,http://www.techniche-imunita.com/,https://www.linkedin.com/company/techniche-imunita-pvt-ltd,Fitness and wellness,Pune,11-50,no
Cybage,https://www.cybage.com,https://www.linkedin.com/company/cybage,IT services and consulting,Pune,5000-10000,no
Zensar,https://www.zensar.com,https://www.linkedin.com/company/zensar-technologies,IT services and consulting,Pune,10000+,no
eClerx,https://www.eclerx.com,https://www.linkedin.com/company/eclerx,Business Process Management,Mumbai,10000+,no
Tata Consultancy Services,https://www.tcs.com,https://www.linkedin.com/company/tata-consultancy-services,IT services and consulting,Mumbai,10000+,no
Infosys,https://www.infosys.com,https://www.linkedin.com/company/infosys,IT services ,Pune,10000+,no
Wipro,https://www.wipro.com,https://www.linkedin.com/company/wipro,IT services,Mumbai,10000+,no
Capgemini,https://www.capgemini.com,https://www.linkedin.com/company/capgemini,IT consulting,Mumbai,10000+,no
Cognizant,https://www.cognizant.com,https://www.linkedin.com/company/cognizant,IT services,Pune,10000+,no
Tech Mahindra,https://www.techmahindra.com,https://www.linkedin.com/company/tech-mahindra,IT services ,Pune,10000+,no
Mindtree (LTIMindtree),https://www.ltimindtree.com,https://www.linkedin.com/company/ltimindtree,IT services,Mumbai,10000+,no
Reliance Industries,https://www.ril.com,https://www.linkedin.com/company/reliance,Conglomerate,Mumbai,10000+,no
Larsen & Toubro,https://www.larsentoubro.com,https://www.linkedin.com/company/larsen-&-toubro-limited,Engineering & Construction,Mumbai,10000+,no
Bajaj Finserv,https://www.bajajfinserv.in,https://www.linkedin.com/company/bajaj-finserv,Financial Services,Pune,10000+,no
BookMyShow,https://in.bookmyshow.com,https://www.linkedin.com/company/bookmyshow,Entertainment / Ticketing ,Mumbai,1000-5000,yes
Fractal Analytics,https://fractal.ai,https://www.linkedin.com/company/fractal-analytics,Business Consulting and Services,Mumbai,5000-10000,yes
PharmEasy,https://pharmeasy.in,https://www.linkedin.com/company/pharmeasy/,"Health, Wellness and Fitness",Mumbai,1000-5000,yes
Dream11,https://www.dream11.com,https://www.linkedin.com/company/dream11/,"Technology, Information and Media",Mumbai,201-500,yes
LenDenClub,https://www.lendenclub.com,https://www.linkedin.com/company/lenden-club/,Financial Services,Mumbai,201-500,yes
CASHe,https://www.cashe.co.in,https://www.linkedin.com/company/cashe-app/,Financial Services,Mumbai,201-500,yes
MyGlamm,https://www.myglamm.com,https://www.linkedin.com/company/myglamm/,"Technology, Information and Internet",Mumbai,501-1000,yes
Good Glamm Group,https://www.goodglamm.com,https://www.linkedin.com/company/goodglammgroup/,Consumer Goods,Mumbai,1000-5000,yes
Pepperfry,https://www.pepperfry.com,https://www.linkedin.com/company/pepperfry/,E-Commerce,Mumbai,501-1000,yes
Rebel Foods,https://www.rebelfoods.com,https://www.linkedin.com/company/rebel-foods/,Cloud Kitchen,Mumbai,5000-10000,yes
Zepto,https://www.zeptonow.com,https://www.linkedin.com/company/zeptonow/,"Technology, Information and Internet",Mumbai,5000-10000,yes
CleverTap,https://clevertap.com,https://www.linkedin.com/company/clevertap/,"Technology, Information and Internet",Mumbai,501-1000,yes
MSwipe,https://www.mswipe.com,https://www.linkedin.com/company/mswipe/,Financial Services,Mumbai,1000-5000,yes
Xpressbees,https://www.xpressbees.com,https://www.linkedin.com/company/xpressbees/,Logistics and Supply Chain,Pune,10000+,yes
Altizon,https://www.altizon.com,https://www.linkedin.com/company/altizon/,Industrial IoT,Pune,51-200,yes
MindTickle ,https://www.mindtickle.com,https://www.linkedin.com/company/mindtickle/,Software Development,Pune,501-1000,yes
PubMatic,https://www.pubmatic.com,https://www.linkedin.com/company/pubmatic/,Advertising Technology,Pune,501-1000,yes
Durva ,https://www.druva.com,https://www.linkedin.com/company/druva/,Software Development,Pune,1000-5000,yes
Tork Motors,https://www.torkmotors.com,https://www.linkedin.com/company/tork-motors-pvt-ltd/,Automotive,Pune,201-500,yes
Fibe India,https://www.fibe.in,https://www.linkedin.com/company/fibe-in/,Financial Services,Pune,501-1000,yes
ElasticRun,https://www.elastic.run,https://www.linkedin.com/company/elasticrun/,Logistics and Supply Chain,Pune,1000-5000,yes
credAble ,https://www.credable.in,https://www.linkedin.com/company/credable.in/,Financial Services,Mumbai,201-500,yes
Harbinger Group,https://www.harbingergroup.com,https://www.linkedin.com/company/harbinger-group/,IT services and consulting,Pune,501-1000,no
Sarvatra Technologies,https://www.sarvatra.com,https://www.linkedin.com/company/sarvatra-technologies/,Financial Technology,Pune,501-1000,no
Pinnacle Teleservices,https://www.pinnacle.in,https://www.linkedin.com/company/pinnacle-teleservices-pvt-ltd/,"Technology, Information and Internet",Nagpur,201-500,no
Talent Corner HR Services,https://www.talentcorner.in,https://www.linkedin.com/company/talent-corner-hr-services-pvt-ltd/,Business Consulting and Services,Mumbai ,51-200,no
Orangebits,https://www.orangebitsindia.com,https://www.linkedin.com/company/orangebitsindia/,Information Technology and Services,Nagpur,51-200,no
Netwin Infosolutions,https://www.netwininfosolutions.com,https://www.linkedin.com/company/netwininfosolutions/,Information Technology and Services,Nashik,201-500,no
